3930271,Golf glove,1/6/76, A golf glove is disclosed having an extra finger pocket between the index and middle finger pockets for securing one finger of one hand of a golf player between the fingers of the player's other hand. ,Hi-Kahng Trading Co.,None,"27,824,222,379,430"
3930272,Crib leg lock,1/6/76, A lock for a height-adjustable crib or playpen requires two distinct manual operations in order to release the lock on each crib leg. Each lock includes a rigid metal bracket which engages around the extensible part of the leg and is pivotally connected to a crib corner post. The bracket has a nose which projects into one of a series of openings in the extensible part of the leg then the bracket is swung against the leg part to prevent movement of the leg part relative to the post. The upper edge of the bracket is slotted to receive a latch pivotally connected to the corner post just above the bracket. The latch drops into the slot when the nose is engaged in one of the openings so that the bracket cannot be moved. ,Hedstrom Co.,None,"1,609,246,257,455,920,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
3930273,Bed safety side rail arrangement,1/6/76," A bed safety side rail arrangement which includes two opposite articulated side rail assemblies selectively pivotally movable from an upper safety position to a lowered position, as for patient transfer and handling and/or bedmaking tasks. The opposite side rail assemblies are readily removably secured to opposite sides of a bed, and desired structural rigidity is provided through the medium of tubular cross members or cross member assemblies which engage the side rail assemblies at their respective pivot connections. ","Affiliated Hospital Products, Inc.",RobertC. Stern,"35,856,593,125,769,300,000,000,000,000,000,000,000,000,000,000,000,000,000"
3930274,Assembly for use in recreational activities,1/6/76," The assembly includes a longitudinal axis and opposite end surfaces transverse to the longitudinal axis. The container has a structure effective to receive both liquids and gas mediums therein and has valves for introducing and exhausting both liquid and gas mediums. An elongated frame structure has a plurality of parallel linear support members wherein each support member is laterally spaced with respect to any other lateral support member, and a separate end frame portion connected at each end of the support members to form an open structural configuration for receiving the collapsible container. The elongated container is fastened to the frame structure with the longitudinal axis thereof disposed substantially parallel to the linear support members and each of the end surfaces of the container being disposed adjacent an end frame portion to support the container within the frame structure during use. The container is attached to the frame structure with one of the linear support members extending longitudinally along one side of the container with the opposing side of the container being free of a support member. The assembly may be used as a pontoon when the container is inflated with a gas fluid medium and is employable in other uses such as a fresh water reservoir, a ballast, a sea anchor, a pitch and roll stabilizer and the like when the container is not inflated or holdls a liquid fluid medium. ",,HaroldA. Syfritt,"254,639,630,643,703,000,000"
3930275,Method of fabricating a slipper,1/6/76," A novel slipper and its method of fabrication is described. The slipper comprises a substantially flat sole member with die-cut bounding edges onto which is heat-sealed an overlying arc-shaped vamp. The novel method is characterized by pre-tacking vamps at predetermined locations to a sole web, and substantially simultaneously heat-sealing each vamp to a sole and die-cutting the bonded sole and vamp from the sole web. ",,Richard Bailin,"29,712,783,311,937,900,000"
3930276,Wheel spinning and vehicle conveying apparatus for automatic wheel washers,1/6/76," An automobile conveyor for use in conjunction with a wheel spinning device for an automatic wheel washer including an endless chain having a plurality of selectively engageable dogs pivotally secured thereto. The dogs normally travel in a position to urge an auto through the washer whereat the outboard end is in close association with the chain and beneath the automobile first supporting surface. Operating means are included whereby when an automobile is in position at least one of the dogs will be automatically moved to a position where the dog extends above the automobile supporting surface, contacts a wheel, and urges the car through the washer apparatus. At the wheel spinning and washing station the chain is forced downwardly to a position whereat it passes beneath the mechanism necessary to perform the wheel spinning operation while still retaining the outboard end of the dog above the automobile supporting surface. The continual contact by the dog assures that the automobile moves through the washer apparatus in a continuous motion. ",Haverberg Auto Laundry Equipment Co.,RussellA. Van Brakel,"35,541,323,037,223"
3930277,Mobile floor sweeper,1/6/76," A Mobile Floor Sweeper including a rotatable cylindrical brush mounted on a mobile chassis, lever means for raising and lowering said brush relative to the chassis with plate means pivotally mounted on the chassis adjacent the brush together with lever means connecting the plate means with the means for raising and lowering the brush whereby the plate means follows the brush as it is raised and lowered and means for adjustably positioning one end of the brush relative to the chassis. ",Advance Machine Company,RichardF. Wulff,"153,700,329,137,441,000,000"
3930278,Paintbrush and guard attachment for edging,1/6/76," A device for removable attachment to a paintbrush to assist in cutting-in one flat surface to another is disclosed. It is formed of flat metal sheet cut to a configuration having a central portion with a foot depending from one end thereof and a pair of bendable arms extending laterally therefrom. The arms can be bent to a plane normal to the plane of the central portion to engage the opposite sides of the handle of a paintbrush, and the foot portion acts as a guide and shield against unintentional smearing. ",,RichardA. Nasca,"9,220,743,401,418,380,000,000,000,000,000,000,000,000,000,000,000,000,000"
3930279,Rubber windshield wiper blades having increased flexibility at clamping points,1/6/76, A rubber windshield wiper blade is clamped to rocker arms at several points along its length. The sides of the blade are formed with cavities at locations corresponding to the locations of the clamps so as to permit flexure of the blade without hindrance from the clamps. ,,Dario Arman,"214,045,330,843,723,000,000"
3930280,Bottle insert for product container,1/6/76," Leaks are precluded in product containers with the bottle insert by structuring a rim thereon for establishing an inclined sealing interface. A diaphragm is structured within the bottle insert to provide either a cylindrical or a noncylindrical wipe over the particular type of applicator tip selected for use in the product container. Furthermore, provisions are incorporated within the bottle insert to block passage through the wiping diaphragm of misaligned comb type applicator tips and these provisions are made self-aligning for such tips with minor structural modification. ",The Bridgeport Metal Goods Manufacturing Company,MartinM. Vasas,"3,084,374,262,761,930,000,000,000,000"
